SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
SCAN_BROKEN	{扫描仪严重受损<IMG>SLASH<>}
SCAN_RECHARGE	{扫描仪充能中}
WARP_MSG	{已在%SYSTEM%发现星系}
DISCOVER_BEACON	{已发现信标%BEACON%}
DISCOVER_RELIC	{已发现%RELIC%}
DISCOVER_CREATURE	{已发现%CREATURE%}
DISCOVER_CREATURE_NEW	{新发现了%CREATURE%}
DISCOVER_PLANET	{已发现新星球}
DISCOVER_PLANET_BY	{由%USER%发现的星球}
CTRL_NORMAL	{操控模式：普通}
CTRL_INVERT	{操控模式：反向}
CTRL_FLIGHT	{操控模式：飞行摇杆}
PRIMARY_SHIP_SWITCH	{<IMG>SLASH<>已变更主控飞船<IMG>SLASH<>}
BEACON_SYNC	{已建立信标同步}
BEACON_BUSY	{信标同步繁忙}
BEACON_TITLE	{已上传 %NUMBER% 份记录}
BEACON_SUB1	{%NUMCLAIMED% 接受 // %NUMCLAIMED% 拒绝}
BEACON_SUB2	{%UNITS% 货币已记入你的帐户}
NOOXYGEN	{缺氧}
EXTREMECOLD	{极寒}
EXTREMEHEAT	{酷热}
RADIATION	{辐射}
TOXICGAS	{毒雨}
HAZ_CRIT_O2	{危险：氧气浓度过低}
HAZ_CRIT_HEAT	{危险：热量过高}
HAZ_CRIT_COLD	{危险：体温过低}
HAZ_CRIT_TOXIC	{危险：毒雨渗入}
HAZ_CRIT_RAD	{危险：辐射渗入}
HAZ_CRIT_SHIELD	{危险：护盾受损}
EXIT_PLANET	{正在离开大气层}
BOOST_ENEMY	{推进器停止工作 - 本地敌人干扰}
BOOST_ATMOS	{推进器停止工作 - 大气层干扰}
BOOST_FREIGHTER	{推进器停止工作 - 附近有大型飞船}
BOOST_STATION	{推进器停止工作 - 附近有空间站}
JUMP_OBSTRUCT	{脉冲驱动器不可用<IMG>SLASH<>行星干扰}
JUMP_ENEMY	{脉冲驱动器不可用<IMG>SLASH<>本地敌人干扰}
JUMP_ATMOS	{脉冲驱动器不可用<IMG>SLASH<>大气层干扰}
JUMP_FREIGHTER	{脉冲驱动器不可用<IMG>SLASH<>附近有大型飞船}
JUMP_STATION	{脉冲驱动器不可用<IMG>SLASH<>附近有空间站}
JUMP_BLACKHOLE	{脉冲驱动器不可用<IMG>SLASH<>极端重力干扰}
