UPDATE9_TITLE	{《No Man's Sky Frontiers》更新}
UPDATE9_NOTES	{《No Man's Sky Frontiers》将为您呈上令人目不暇接的新内容。请前往www.nomanssky.com了解全部详情。

*现可在所有有生命居住的星球上遇到外星定居点。
*成为定居点的监督者，将其从一座小村庄发展为欣欣向荣的城镇。
*在定居点立法方面做出重要决策，提升居民的满意度、生产效率和生活水平。
*新增数百种新基地部件和高级建筑操控系统，让您能建造出比以往更精致的基地。
*存档槽位从5个增加到了15个，且目前任意存档槽位都可使用水银购买。

Hello Games一直在不遗余力地完善与充实《No Man's Sky》。希望大家喜欢这款游戏。:)

非常感谢，
Hello Games}
UI_SAVE_READONLY_WARNING_TITLE	{存档文件警告}
UI_SAVE_READONLY_WARNING1	{《No Man's Sky》检测到%DIRECTORY%里的存档文件属性为只读，无法写入。}
UI_SAVE_READONLY_WARNING2	{这会导致游戏无法保存。请在Windows里检查存档文件的属性，并确保没有勾选“只读”或“隐藏”复选框。}
UI_BASIC_TIMBER_SUB	{原木建筑}
UI_BASIC_TIMBER_ROOFS_SUB	{原木屋顶}
UI_BASIC_STONE_SUB	{石质建筑}
UI_BASIC_STONE_ROOFS_SUB	{石质屋顶}
UI_BASIC_FIBREGLASS_SUB	{合金建筑}
UI_BASIC_FIBREGLASS_ROOFS_SUB	{合金屋顶}
UI_BUILD_GRID_DEPLOYABLE	{可部署技术}
UI_BUILD_GRID_PORTABLE	{便携单元}
UI_BUILD_GRID_EXOCRAFT	{强化艇泊湾}
UI_BUILD_GRID_DECOR	{装饰}
UI_BUILD_GRID_INTERIOR	{内部装饰}
UI_BUILD_GRID_EXTERIOR	{结构性装饰}
UI_BUILD_GRID_FURNITURE_TITLE	{装修}
UI_BUILD_GRID_FURNITURE	{装修}
UI_BUILD_GRID_DERELICTS	{荒废货船回收}
UI_BUILD_GRID_TECH_DECOR	{装饰技术}
UI_BUILD_GRID_STATUES	{雕像}
UI_BUILD_GRID_LIGHTS	{照明}
UI_BUILD_GRID_FOLIAGE	{装饰植物}
UI_BUILD_GRID_DECALS	{贴花}
UI_BUILD_GRID_GLITCHES	{行星错乱体}
UI_BUILD_GRID_CONSTRUCTION	{建筑部件}
UI_BUILD_GRID_FIREWORKS	{烟花}
UI_BUILD_GRID_TECH_TITLE	{高级技术}
UI_BUILD_GRID_TECH	{通用设施}
UI_BUILD_GRID_FARMING	{耕作}
UI_BUILD_GRID_STORAGE	{存储}
UI_BUILD_GRID_TERMINALS	{专家终端}
UI_BUILD_GRID_POWER_INDUSTRY	{能量和工业}
UI_BUILD_GRID_SWITCHES	{电气开关}
UI_BUILD_GRID_POWER	{发电}
UI_BUILD_GRID_INDUSTRY	{工业构件}
UI_BUILD_GRID_STRUCTURES	{大型建筑}
UI_BUILD_GRID_DOORS	{门和梯子}
UI_BUILD_GRID_CORRIDORS	{走廊}
UI_BUILD_GRID_MAINROOMS	{房间和地基}
UI_BUILD_GRID_CUBEROOMS	{矩形屋}
UI_BUILD_GRID_BASIC	{基本建筑}
UI_BUILD_GRID_BASIC_LEGACY	{遗留建筑}
UI_BUILD_GRID_BASIC_TIMBER	{原木建筑}
UI_BUILD_GRID_BASIC_STONE	{石质建筑}
UI_BUILD_GRID_BASIC_FIBREGLASS	{合金建筑}
UI_BUILD_GRID_WOOD	{木材}
UI_BUILD_GRID_METAL	{金属}
UI_BUILD_GRID_CONCRETE	{混凝土}
UI_BUILD_GRID_STONE	{石材}
